wfd:
entry into              进入
professions             行业 /职业 /专业
architecture            建筑 /建筑学 /架构 
architectural structure 建筑结构
auditorium              礼堂 /观众席
aspects                 方面 /体 /样子 /面貌
a/the combination of    ...的结合
philosophy              哲学 /哲理 /自然哲理 /理念
experimental procedures 实验步骤
chemically              以化学方法
chemical reactions      化学反应
laboratory manual       实验室手册
lounge                  休息室 /休息厅 /贵宾厅 /酒廊
tough                   坚韧 /强硬 /吃苦耐劳 /硬朗
thoroughly              彻底地 /摸底 /十分地 /充分地
thorough                彻底的 /深入 /完全的 /详尽的
throughout              贯穿整个时期 /遍及 /纵观 /贯穿 /自始至终
facial expressions      面部表情
complaint form          投诉表格
present                 现在 /礼物 /目前的 /出席的 /出示
presentation            典礼 /仪式 表现 /情况介绍 /新课呈现 /介绍 /演示文稿
participation           参与 /出勤 /参加 /分享
participate in          参与 /参加 /分享 /分担
final grade             最后一年级 /最终成绩 /最终等级 /末级       
undoubtedly             无疑 /毫无疑问 /无庸置疑地 /必定
without doubt           无疑地；确实地
limitation              限制，制约 /局限性 /边界 /缺陷
probably                大概 /很可能 /没准 /可能
planets                 星球
engage                  吸引 /从事 /雇用 /使从事于
foundation              基金会 /基础 /粉底 /地基
dealing with            对待 /应对 /关于
challenge               挑战 /难题 /叫板 /挑战赛 /擂台
punctuality             准时 /守时 /正点 /论守时
punctually              准时地 /守时地 /毁掉 /消灭
promptly                立即 /敏捷地
shape ... emotions      塑造 ... 的情感 /喜怒哀乐 /个人感情 /情绪
used to be              曾当过 /过去一向 /曾经是
photography             摄影 /摄影术 /摄影学 /摄影壁纸
geographical            地理的 /区域的 /地理学的 
geography               地理学 /地理 /地舆 /地舆学
mixture                 混合物 /混合 /合剂 /混并织物
compound                合成词 /化合物 /复合词 /复合的
the compound of         ...的化合物
separate parts          分开的部分 /独立的部分
protective              保护的 /防护的 /给予保护的 /保护伞
operate                 操作 /经营 /运作 /运转
continuous              连续 /持续 /续不断 /连续不断的 
continuous assessments  连续评估：一种教育考试形式，它在整个规定课程期间评估学生的进展。
continue                继续 /连续 /继续游戏 /继续循环
unpredictable           莫测 /不可预知的 /变化莫测 /难以捉摸
tutorial                教程 /助教的辅导 /指南 /辅导课
optional tutorials      可选的教程
elective course         选修课 /选修课程 /选修科目
ample                   充足的 /足够的 /宽敞的 /许多
calories                卡路里 /热量 /热卡
nutritional value       营养价值
a range of              一些 /一套 /许多的
stationery              文具 /信笺 /信纸 /文具用品
seminar                 研讨会 /研讨班 /讨论会 /讲座
semester                学期
due                     到期 /预期的 /所致
be due by               截止日期
a great deal of         大量的
debate                  辩论 /争论 /讨论 /议论
scientific              科学的 /科学化 /科学报告 /科学美国人
scientific papers       科学论文
comprehensive           全面 /综合的 /广泛的 /综合性
comprising              包含/ 由……组成 /包括 /组成 /构成
simplified              简易 /简化的 /简体中文 /简单
advised                 建议 /忠告 /通知
despite                 尽管如此 /尽管 /不管 /不顾
all forms of            ……的所有形式
characteristics         特征 /特性 /特色 /特点
share certain characteristics   具有某些共同特征：指两个或多个事物之间存在某些相似之处或共同点。
stages                  v.计划；表演；分阶段进行 n.舞台；戏剧表演
elaborated              详尽的  /复杂的 /精心的 /精美的
perspectives            透视 /观点/ 看法 /视角
failure                 失败 /失效 /故障 /未考好
organization failure    组织失灵
literature              文学 /文献 /文学 /印刷品 /著述；印刷品，宣传品
statistical             统计的 /统计学的
statistic               n. 统计数字，统计资料；统计学（statistics）；（一项）统计数据; adj. 统计的，统计学的
circumstance            环境 /情况 /境遇 /条件
antibiotics             抗生素 /抗菌素 /抗菌药物
training course         培训班 /培训课程 /实习课
inflation               通货膨胀
rising inflation rate   通货膨胀率上升
indicate                表明，标示；象征，暗示；间接提及，示意；指示，指出
indicates a decrease    表示减少
permit                  许可证 /允许 /许可 /准许
is not permitted        是不允许的
demand for              对 ...的需求 /要求 /需求量
faculty board           教务委员会 
faculty office          教职员工办公室
lecture outlines        讲义
open to new idea        接受新思想
effective               有效 /有影响的 /起作用的 /生预期结果的，有效的；实际的，事实上的
happens with            发生在……身上
fails                   衰退/ 出现问题 /失败 /未通过 /名字 /爽约
foliage suffers         树叶受损 /叶子会受到影响
abstract                摘要 /抽象的 /文摘 /抽象派
structure               结构 /构造 /建筑物 /鞋型
highlight               强调 /加精 /重头戏
involve                 涉及 /使卷入 /牵涉 /包含
applied mathematics     应用数学
have advantages over    比……更有优势：在某些方面比另一个人或事物更具优势
traditional             传统的 /惯例的 /爱守成规 /繁体
classical               古典的 /古典音乐 /经典 /传统的
new media               新媒体 /新媒介 /新传媒 /网络传播
journalism              新闻 /新闻业 /报刊 /新闻专业
marine                  海军陆战队 /海的 /海产的 /机枪兵
marine environments     海洋环境 /洋环境 /海洋
pollution               污染 /公害 /玷污 /环境污染    
unsustainable           不可持续的
once                    曾经 /一次 /一旦 /过去
diseases                疾病
eradicate               根除 /连根拔除 /铲除 /扑灭
destroyed               破坏 /毁掉 /毁于一旦 /摧垮 /毁坏
destroyed by            被...破坏
serious                 严重的/ 危急的 /严重 /认真 /正经
compete with            与……竞争 /一较高下 /竞赛 /与谁竞争 /较高下 
educational reforms     教育改革
inadequately            不适当地；不够好地 /不够地 /不足地
